week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1979-12-31/1980-01-06,19.700694444444444,66.58333333333333,12.613888888888889,0.0,0.0,0,1013.9743055555555,947.7111111111111,24.499999999999996,16.555555555555554,17.63888888888889,0.013888888888888883,0.8679166666666668,9.86111111111111,65
1980-01-07/1980-01-13,21.870833333333334,58.654761904761905,12.739880952380954,0.0,0.0,0,1014.7636904761904,948.914880952381,20.345238095238095,5.702380952380952,25.315476190476186,0.0,1.2052380952380954,7.045833333333333,9
1980-01-14/1980-01-20,22.191666666666666,55.041666666666664,11.792857142857143,0.0,0.0,0,1015.5803571428571,949.7464285714285,0.8869047619047619,0.11309523809523807,1.3035714285714286,0.0,1.3773809523809526,6.629166666666667,4
1980-01-21/1980-01-27,21.08511904761905,51.851190476190474,9.51845238095238,0.0,0.0,0,1014.1630952380953,948.177380952381,0.0,0.0,0.0,0.0,1.4058928571428573,6.755357142857142,16
1980-01-28/1980-02-03,19.22797619047619,59.5,9.901785714285714,0.0,0.0,0,1012.789880952381,946.4958333333333,7.857142857142857,7.351190476190475,1.994047619047619,0.1130952380952381,1.0764285714285715,8.833928571428572,270
1980-02-04/1980-02-10,20.798214285714284,41.82142857142857,5.9244047619047615,0.0,0.0,0,1014.2851190476191,948.2297619047619,3.0,2.69047619047619,0.0,1.9464285714285714,1.6266666666666667,7.904166666666667,90
1980-02-11/1980-02-17,23.819047619047616,42.708333333333336,9.075000000000001,0.0,0.0,0,1013.6011904761905,948.2404761904762,7.4642857142857135,0.005952380952380943,12.05952380952381,0.744047619047619,1.8782142857142856,8.354166666666668,23
1980-02-18/1980-02-24,24.92142857142857,38.535714285714285,8.246428571428572,0.0,0.0,0,1014.1505952380952,948.979761904762,0.7142857142857143,0.0,0.10714285714285714,2.1547619047619047,2.202202380952381,7.952976190476191,4
1980-02-25/1980-03-02,24.6547619047619,37.851190476190474,7.413095238095238,0.0,0.0,0,1010.6077380952381,945.6071428571429,0.05952380952380952,0.005952380952380943,0.0,0.14880952380952378,2.209702380952381,8.751785714285713,81
1980-03-03/1980-03-09,23.464285714285715,45.648809523809526,9.141071428571427,0.0,0.0,0,1011.8392857142857,946.5071428571429,1.119047619047619,1.2142857142857142,0.0238095238095238,0.0,1.8432738095238095,8.544642857142858,270
1980-03-10/1980-03-16,25.526190476190475,37.625,8.358333333333333,0.2,0.2,0,1012.6321428571428,947.6880952380952,5.720238095238095,0.0,8.75,1.636904761904762,2.261190476190476,7.428571428571429,45
1980-03-17/1980-03-23,27.163095238095234,35.75,9.026785714285714,0.0,0.0,0,1013.0678571428572,948.4375,4.238095238095238,0.0,6.958333333333333,0.05952380952380953,2.5926785714285714,8.722619047619046,3
1980-03-24/1980-03-30,27.042261904761908,44.57738095238095,11.826190476190476,0.7000000000000001,0.7000000000000001,0,1012.3827380952381,947.770238095238,17.154761904761905,4.0,4.833333333333333,35.529761904761905,2.2551785714285715,9.745833333333334,7
1980-03-31/1980-04-06,28.735714285714284,36.523809523809526,10.306547619047619,0.0,0.0,0,1010.4315476190477,946.2857142857143,4.077380952380952,0.0,4.690476190476191,4.1726190476190474,2.827916666666667,6.97202380952381,9
1980-04-07/1980-04-13,29.677380952380954,35.49404761904761,10.157738095238097,0.2,0.2,0,1008.0886904761904,944.2845238095239,5.8809523809523805,0.0,6.226190476190476,7.160714285714286,3.0545833333333334,9.323214285714286,254
1980-04-14/1980-04-20,29.985714285714288,39.392857142857146,11.99702380952381,0.0,0.0,0,1009.1464285714286,945.3363095238095,11.392857142857142,0.1488095238095238,11.261904761904761,15.017857142857142,2.966011904761905,8.001785714285715,49
